"Agency description","Year","Expenditure"
"Department of Peacekeeping Operations","2018","7,987,831,961"
"World Food Programme","2018","6,789,054,399"
"United Nations","2018","6,236,300,357"
"United Nations Children’s Fund","2018","5,918,587,378"
"United Nations Development Programme","2018","5,096,825,461"
"Office of the United Nations High Commissioner for Refugees","2018","4,063,979,955"
"World Health Organization","2018","2,500,048,502"
"International Organization for Migration","2018","1,841,571,956"
"Food and Agriculture Organization of the United Nations","2018","1,454,768,694"
"Pan American Health Organization","2018","1,299,479,539"
"UN Relief and Works Agency for Palestine Refugees","2018","1,190,222,772"
"United Nations Population Fund","2018","1,086,021,580"
"United Nations Office for Project Services","2018","923,666,350"
"United Nations Educational, Scientific and Cultural Organization","2018","682,012,889"
"International Atomic Energy Agency","2018","641,027,397"
"International Labour Organization","2018","624,826,077"
"United Nations Environment Programme","2018","558,532,206"
"UN Women","2018","380,260,000"
"World intellectual Property Organization","2018","355,663,225"
"United Nations Office on Drugs and Crime","2018","332,270,000"
"United Nations Industrial Development Organization","2018","279,463,696"
"World Trade Organization","2018","263,483,283"
"International Civil Aviation Organization","2018","229,964,201"
"UNITAID","2018","216,329,000"
"International Fund for Agricultural Development","2018","193,082,000"
" International Telecommunication Union","2018","186,793,313"
"United Nations Human Settlements Programme","2018","185,747,457"
"Joint United Nations Programme on HIV/AIDS","2018","184,336,897"
"International Criminal Court","2018","176,976,518"
"Comprehensive Nuclear-Test-Ban Treaty Organization","2018","127,564,070"
"International Trade Centre UNCTAD/WTO","2018","98,687,491"
"World Meteorological Organization","2018","96,634,245"
"The United Nations Framework Convention on Climate Change","2018","91,157,673"
"United Nations University","2018","90,538,190"
"Organisation for the Prohibition of Chemical Weapons","2018","84,194,436"
"Universal Postal Union","2018","75,172,438"
"International Maritime Organization","2018","63,760,456"
"United Nations Capital Development Fund","2018","60,853,361"
"IARC","2018","46,483,338"
"United Nations Institute for Training and Research","2018","28,584,000"
"World Tourism Organization","2018","21,123,148"
"UN System Staff College","2018","9,741,572"
"United Nations Research Institute for Social Development","2018","2,207,230"
