"Year","Country","Amount"
"2015","Global and Interregional","21124356358"
"2015","Americas","1504715474"
"2015","Afghanistan","1068160024"
"2015","South Sudan","1039357543"
"2015","Occupied Palestinian Territory","991355006"
"2015","Lebanon","973671156"
"2015","Switzerland","953060268"
"2015","Syrian Arab Republic","940957232"
"2015","Africa","862480608"
"2015","Iraq","842359034"
"2015","Ethiopia","776842648"
"2015","Jordan","700136223"
"2015","Congo (the Democratic Republic of the)","596707611"
"2015","Italy","594429781"
"2015","Sudan","588650682"
"2015","Somalia","557853978"
"2015","Pakistan","531757987"
"2015","Canada","460897198"
"2015","Nigeria","454140069"
"2015","Yemen","445723947"
"2015","Kenya","433640367"
"2015","Zimbabwe","423379741"
"2015","Chad","320532992"
"2015","Argentina","313860558"
"2015","Europe","294525749"
"2015","Sierra Leone","286989334"
"2015","Liberia","278203718"
"2015","Asia and the Pacific","278097956"
"2015","Uganda","273951801"
"2015","Northern Africa","273189090"
"2015","Guinea","273099530"
"2015","Niger","256066364"
"2015","India","255943054"
"2015","Mali","254867471"
"2015","Central African Republic","254444724"
"2015","Turkey","238329235"
"2015","Bangladesh","223310391"
"2015","Egypt","219488979"
"2015","Nepal","209776849"
"2015","Malawi","207579306"
"2015","Myanmar","204863924"
"2015","Tanzania, United Republic of","196454160"
"2015","Colombia","196381362"
"2015","Central Asia","194894629"
"2015","Cameroon","185429007"
"2015","Zambia","179241168"
"2015","Haiti","161037674"
"2015","Philippines","158560627"
"2015","Peru","135960936"
"2015","Burkina Faso","131114843"
"2015","China","127579667"
"2015","Asia excluding Japan","126312838"
"2015","Rwanda","121002015"
"2015","Ukraine","118366362"
"2015","Madagascar","111523173"
"2015","Côte d'Ivoire","111170964"
"2015","Senegal","111126250"
"2015","Mozambique","110584543"
"2015","Burundi","107714832"
"2015","Brazil","102284919"
"2015","Indonesia","101879193"
"2015","Latin America and the Caribbean","98485532"
"2015","Bosnia and Herzegovina","95871905"
"2015","Guatemala","80586173"
"2015","Cambodia","80199545"
"2015","Democratic People's Republic of Korea","77796342"
"2015","Mauritania","76910745"
"2015","Ghana","76297020"
"2015","Viet Nam","76028568"
"2015","Thailand","73356509"
"2015","Saudi Arabia","68835493"
"2015","Lao People's Democratic Republic","67924295"
"2015","Kyrgyzstan","66862511"
"2015","South Africa","63908351"
"2015","Eastern mediterranean region","62982000"
"2015","Honduras","62769679"
"2015","Tajikistan","61735791"
"2015","Angola","59985505"
"2015","El Salvador","59466420"
"2015","Sri Lanka","59399868"
"2015","Iran (Islamic Republic of)","58795322"
"2015","Venezuela (Bolivarian Republic of)","56585235"
"2015","Mexico","55347462"
"2015","Panama","53523328"
"2015","Timor-Leste","51191084"
"2015","Benin","49416989"
"2015","Congo","47429115"
"2015","Eritrea","44554135"
"2015","Dominican Republic","44495518"
"2015","Fiji","43753375"
"2015","South-eastern Asia","43637618"
"2015","Algeria","43560560"
"2015","Serbia","42894829"
"2015","Armenia","41966101"
"2015","Guinea-Bissau","41390896"
"2015","Eastern Asia","40570286"
"2015","Djibouti","39881698"
"2015","Ecuador","38131418"
"2015","Papua New Guinea","36970633"
"2015","South America","36672585"
"2015","Nicaragua","35301581"
"2015","Bolivia (Plurinational State of)","34405733"
"2015","Georgia","34130330"
"2015","Tunisia","34093425"
"2015","Paraguay","33705054"
"2015","Morocco","33681027"
"2015","Togo","33303134"
"2015","Arab States","32527800"
"2015","Uzbekistan","31481011"
"2015","Kazakhstan","31459998"
"2015","Chile","30754583"
"2015","Lesotho","30525542"
"2015","Republic of Moldova","30506647"
"2015","Libya","29394317"
"2015","Namibia","28999648"
"2015","Gambia","28072961"
"2015","Belarus","27418752"
"2015","Uruguay","27332801"
"2015","Malaysia","26564722"
"2015","Cuba","26509893"
"2015","Russian Federation","25492925"
"2015","Eastern Africa","25185384"
"2015","Mongolia","21638584"
"2015","Greece","21408029"
"2015","Kosovo","20775045"
"2015","Albania","18675402"
"2015","Azerbaijan","18674191"
"2015","Macedonia (the former Yugoslav Republic of)","18470307"
"2015","Cabo Verde","18087673"
"2015","Equatorial Guinea","17935398"
"2015","Bhutan","17932925"
"2015","Swaziland","17106357"
"2015","Comoros","16725570"
"2015","Costa Rica","16580108"
"2015","Botswana","15844354"
"2015","Maldives","15657908"
"2015","Gabon","13644824"
"2015","Barbados","13458702"
"2015","Sao Tome and Principe","13116926"
"2015","Jamaica","12997275"
"2015","Turkmenistan","12566666"
"2015","Montenegro","11203938"
"2015","United Arab Emirates","10738405"
"2015","Samoa","10395484"
"2015","United States of America","10050495"
"2015","Lithuania","10004627"
"2015","Kuwait","9855375"
"2015","Croatia","9384057"
"2015","Guyana","9064120"
"2015","Mauritius","9010208"
"2015","Cyprus","8955697"
"2015","Solomon Islands","8732272"
"2015","Romania","8052120"
"2015","Oceania","7747246"
"2015","Japan","7331355"
"2015","Vanuatu","6777203"
"2015","Belize","6661382"
"2015","Trinidad and Tobago","6442168"
"2015","Oman","5368815"
"2015","Hungary","4953047"
"2015","Bulgaria","4678171"
"2015","Bahamas","4562593"
"2015","Réunion","4370557"
"2015","Belgium","3789934"
"2015","Bahrain","3758223"
"2015","Sweden","2930146"
"2015","Israel","2805616"
"2015","France","2717210"
"2015","United Kingdom of Great Britain and Northern Ireland","2274655"
"2015","Suriname","2186290"
"2015","Germany","2128647"
"2015","Caribbean","2070257"
"2015","Spain","2005875"
"2015","Austria","1999782"
"2015","Australia","1794030"
"2015","Slovenia","1750012"
"2015","Western Sahara","1713719"
"2015","Central America","1618486"
"2015","Republic of Korea","1589116"
"2015","Grenada","1443371"
"2015","Liechtenstein","1437478"
"2015","Tonga","1381248"
"2015","Cook Islands","1294046"
"2015","Micronesia (Federated States of)","1277654"
"2015","Eastern Europe","1223575"
"2015","Slovakia","1142846"
"2015","Poland","1042739"
"2015","Seychelles","931563"
"2015","Kiribati","861098"
"2015","Qatar","807006"
"2015","Dominica","699881"
"2015","Ireland","681882"
"2015","Southern Asia","623410"
"2015","Czech Republic","621875"
"2015","Malta","580322"
"2015","Western Asia","559463"
"2015","Saint Lucia","444198"
"2015","Singapore","419053"
"2015","Saint Vincent and the Grenadines","400131"
"2015","Netherlands","379846"
"2015","Saint Kitts and Nevis","331217"
"2015","Marshall Islands","321755"
"2015","Estonia","246000"
"2015","Tokelau","219052"
"2015","Tuvalu","211415"
"2015","Latvia","210402"
"2015","Antigua and Barbuda","204791"
"2015","Niue","185049"
"2015","Portugal","149003"
"2015","Nauru","148687"
"2015","Palau","126686"
"2015","Saint Helena","112000"
"2015","Brunei Darussalam","84474"
"2015","Norway","81462"
"2015","American Samoa","52000"
"2015","Curaçao","49847"
"2015","New Zealand","46565"
"2015","Montserrat","39356"
"2015","Northern Mariana Islands","37000"
"2015","French Polynesia","36000"
"2015","Guam","36000"
"2015","Anguilla","27476"
"2015","Iceland","26870"
"2015","China, Macao Special Administrative Region","20196"
"2015","Denmark","19577"
"2015","Luxembourg","0"
"2015","Monaco","0"
"2015","Finland","0"
"2015","San Marino","0"
"2015","Sark","0"
"2015","Andorra","0"
"2015","Aruba","-114"
"2015","Western Africa","-297"
