"Year","Country","Amount","Expenditure"
"2015","Afghanistan","1068160023.672158","1,068,160,024"
"2015","South Sudan","1039357542.793","1,039,357,543"
"2015","Occupied Palestinian Territory","991355005.561","991,355,006"
"2015","Lebanon","973671156.3788899","973,671,156"
"2015","Switzerland","953060268.2560002","953,060,268"
"2015","Syrian Arab Republic","940957231.5161","940,957,232"
"2015","Iraq","842359033.5150001","842,359,034"
"2015","Ethiopia","776842647.74575","776,842,648"
"2015","Jordan","700136223.0867602","700,136,223"
"2015","Democratic Republic of the Congo","596707611.254818","596,707,611"
"2015","Italy","594429780.890263","594,429,781"
"2015","Sudan","588650681.67015","588,650,682"
"2015","Somalia","557853977.6096001","557,853,978"
"2015","Pakistan","531757987.44590974","531,757,987"
"2015","Canada","460897197.64497","460,897,198"
"2015","Nigeria","454140068.8704","454,140,069"
"2015","Yemen","445723946.6677","445,723,947"
"2015","Kenya","433640366.59239995","433,640,367"
"2015","Zimbabwe","423379740.6466","423,379,741"
"2015","Chad","320532992.085","320,532,992"
"2015","Argentina","313860557.9628","313,860,558"
"2015","Sierra Leone","286989334.079","286,989,334"
"2015","Liberia","278203717.7227","278,203,718"
"2015","Uganda","273951801.0704","273,951,801"
"2015","Guinea","273099529.71945","273,099,530"
"2015","Niger","256066363.79023004","256,066,364"
"2015","India","255943053.76078","255,943,054"
"2015","Mali","254867470.97","254,867,471"
"2015","Central African Republic","254444723.8785","254,444,724"
"2015","Turkey","238329234.9788","238,329,235"
"2015","Bangladesh","223310390.79577","223,310,391"
"2015","Egypt","219488979.20982","219,488,979"
"2015","Nepal","209776848.9696182","209,776,849"
"2015","Malawi","207579305.7548145","207,579,306"
"2015","Myanmar","204863923.73479998","204,863,924"
"2015","United Republic of Tanzania","196454159.601649","196,454,160"
"2015","Colombia","196381361.58291","196,381,362"
"2015","Cameroon","185429007.45209298","185,429,007"
"2015","Zambia","179241168.2838","179,241,168"
"2015","Haiti","161037673.5102","161,037,674"
"2015","Philippines","158560627.11360648","158,560,627"
"2015","Peru","135960936.46056002","135,960,936"
"2015","Burkina Faso","131114843.18406","131,114,843"
"2015","China","127579666.5367","127,579,667"
"2015","Rwanda","121002015.04119","121,002,015"
"2015","Ukraine","118366361.7239","118,366,362"
"2015","Madagascar","111523172.87278421","111,523,173"
"2015","Cote d'Ivoire","111170964.28596999","111,170,964"
"2015","Senegal","111126250.01499999","111,126,250"
"2015","Mozambique","110584542.91433999","110,584,543"
"2015","Burundi","107714832.33083402","107,714,832"
"2015","Brazil","102284919.23115999","102,284,919"
"2015","Indonesia","101879192.7037","101,879,193"
"2015","Bosnia and Herzegovina","95871905.16884999","95,871,905"
"2015","Guatemala","80586172.79371","80,586,173"
"2015","Cambodia","80199545.40445","80,199,545"
"2015","Democratic People's Republic of Korea","77796341.97038999","77,796,342"
"2015","Mauritania","76910744.774","76,910,745"
"2015","Ghana","76297020.2921","76,297,020"
"2015","Viet Nam","76028567.75062238","76,028,568"
"2015","Thailand","73356509.01507","73,356,509"
"2015","Saudi Arabia","68835492.596","68,835,493"
"2015","Lao People's Democratic Republic","67924294.77985","67,924,295"
"2015","Kyrgyzstan","66862510.8695","66,862,511"
"2015","South Africa","63908350.7372","63,908,351"
"2015","Honduras","62769679.1481","62,769,679"
"2015","Tajikistan","61735791.1343","61,735,791"
"2015","Angola","59985504.623600006","59,985,505"
"2015","El Salvador","59466420.30042169","59,466,420"
"2015","Sri Lanka","59399868.463036805","59,399,868"
"2015","Iran (Islamic Republic of)","58795321.893999994","58,795,322"
"2015","Venezuela (Bolivarian Republic of)","56585235.3102993","56,585,235"
"2015","Mexico","55347461.95389999","55,347,462"
"2015","Panama","53523328.3437002","53,523,328"
"2015","Timor-Leste","51191083.501647","51,191,084"
"2015","Benin","49416988.66386","49,416,989"
"2015","Congo","47429115.22085201","47,429,115"
"2015","Eritrea","44554135.0312","44,554,135"
"2015","Dominican Republic","44495517.96847","44,495,518"
"2015","Fiji","43753375.18048","43,753,375"
"2015","Algeria","43560560.4378","43,560,560"
"2015","Serbia","42894829.068569995","42,894,829"
"2015","Armenia","41966101.209","41,966,101"
"2015","Guinea-Bissau","41390895.958900005","41,390,896"
"2015","Djibouti","39881698.06482","39,881,698"
"2015","Ecuador","38131417.93094","38,131,418"
"2015","Papua New Guinea","36970633.34308","36,970,633"
"2015","Nicaragua","35301581.2864","35,301,581"
"2015","Bolivia (Plurinational State of)","34405732.76487","34,405,733"
"2015","Georgia","34130330.150593","34,130,330"
"2015","Tunisia","34093424.509","34,093,425"
"2015","Paraguay","33705054.43912","33,705,054"
"2015","Morocco","33681026.9866","33,681,027"
"2015","Togo","33303133.799219996","33,303,134"
"2015","Uzbekistan","31481011.053000003","31,481,011"
"2015","Kazakhstan","31459997.821030002","31,459,998"
"2015","Chile","30754583.431520004","30,754,583"
"2015","Lesotho","30525541.81284","30,525,542"
"2015","Republic of Moldova","30506647.429700002","30,506,647"
"2015","Libya","29394317.191700004","29,394,317"
"2015","Namibia","28999647.863340005","28,999,648"
"2015","Gambia","28072961.30598","28,072,961"
"2015","Belarus","27418752.078126002","27,418,752"
"2015","Uruguay","27332800.577999998","27,332,801"
"2015","Malaysia","26564721.82893","26,564,722"
"2015","Cuba","26509892.69149747","26,509,893"
"2015","Russian Federation","25492925.277654003","25,492,925"
"2015","Mongolia","21638584.048299998","21,638,584"
"2015","Greece","21408029.1281","21,408,029"
"2015","Kosovo","20775044.9675","20,775,045"
"2015","Albania","18675402.07697","18,675,402"
"2015","Azerbaijan","18674191.2971","18,674,191"
"2015","The former Yugoslav Republic of Macedonia","18470307.36128","18,470,307"
"2015","Cabo Verde","18087673.1877","18,087,673"
"2015","Equatorial Guinea","17935397.50329","17,935,398"
